RunCount,VectorObs,VectorObsCurriculum,Raycast,RaycastCurriculum
82,60.001182556,16.680191,16.0001754761,15.9201746
83,4.119997,60.001182556,8.159997,7.9999933
84,10.4000483,60.001182556,10.8400583,60.001182556
85,60.001182556,60.001182556,60.001182556,60.001182556
86,60.001182556,60.001182556,60.001182556,60.001182556
87,60.001182556,60.001182556,60.001182556,60.001182556
88,60.001182556,17.4002075,60.001182556,16.3601837
89,60.001182556,60.001182556,60.001182556,60.001182556
90,60.001182556,60.001182556,60.001182556,60.001182556
91,60.001182556,60.001182556,8.159997,8.03999424
92,60.001182556,60.001182556,60.001182556,60.001182556
93,9.8800364,60.001182556,60.001182556,60.001182556
94,60.001182556,60.001182556,60.001182556,60.001182556
95,60.001182556,60.001182556,60.001182556,60.001182556
96,60.001182556,26.0004043579,60.001182556,60.001182556
97,60.001182556,60.001182556,22.6403275,32.2005463
98,27.04042816,7.9199934,43.000793457,24.6403732
99,60.001182556,60.001182556,22.04031372,4.5599966
100,60.001182556,47.6008987,60.001182556,60.001182556
101,60.001182556,60.001182556,60.001182556,60.001182556
102,6.5999947,60.001182556,7.3999939,7.319994
103,60.001182556,60.001182556,60.001182556,42.04077148
104,60.001182556,60.001182556,26.6804199,58.1611404
105,60.001182556,60.001182556,60.001182556,60.001182556
106,21.2002945,60.001182556,7.3599939,8.9600153
107,4.8799963,6.5999947,11.3600702,13.2401133
108,18.6402359,60.001182556,18.4402313,18.3202286
109,60.001182556,60.001182556,60.001182556,32.8405609
110,60.001182556,60.001182556,60.001182556,41.7207642
111,60.001182556,60.001182556,46.04086304,60.001182556
112,11.920083,6.6799946,60.001182556,5.159996
113,59.2411652,60.001182556,59.5211716,60.001182556
114,60.001182556,5.5599957,24.8003769,60.001182556
115,60.001182556,60.001182556,60.001182556,60.001182556
116,52.2410049,60.001182556,60.001182556,60.001182556
117,60.001182556,60.001182556,60.001182556,39.0007019043
118,60.001182556,60.001182556,60.001182556,60.001182556
119,12.8001032,43.5208054,60.001182556,29.0004730225
120,6.239995,8.3200006,7.1199942,6.9199944
121,3.8399971,60.001182556,10.6000528,10.4000483
122,60.001182556,60.001182556,60.001182556,60.001182556
123,60.001182556,60.001182556,60.001182556,60.001182556
124,11.480073,60.001182556,60.001182556,60.001182556
125,60.001182556,60.001182556,32.3605499,5.9999952
126,60.001182556,60.001182556,60.001182556,60.001182556
127,60.001182556,60.001182556,60.001182556,60.001182556
128,60.001182556,4.6399965,5.1199961,45.8808594
129,60.001182556,60.001182556,32.5605545,52.201004
130,48.5609207,60.001182556,12.2400904,60.001182556
131,60.001182556,60.001182556,60.001182556,60.001182556
132,60.001182556,60.001182556,60.001182556,3.5999973
133,60.001182556,60.001182556,51.6809921,10.8400583
134,60.001182556,60.001182556,60.001182556,60.001182556
135,60.001182556,60.001182556,28.520462,36.4406433
136,47.480896,60.001182556,23.320343,60.001182556
137,60.001182556,60.001182556,60.001182556,60.001182556
138,3.9599969,7.8799934,7.1199942,6.8799944
139,60.001182556,60.001182556,60.001182556,60.001182556
140,60.001182556,60.001182556,60.001182556,19.7202606
141,11.3200693,60.001182556,60.001182556,60.001182556
142,60.001182556,60.001182556,60.001182556,60.001182556
143,60.001182556,60.001182556,60.001182556,60.001182556
144,60.001182556,60.001182556,53.1210251,32.08054352
145,60.001182556,60.001182556,26.6804199,27.2004318
146,60.001182556,26.2404099,27.2004318,48.880928
147,60.001182556,6.4799948,60.001182556,60.001182556
148,60.001182556,60.001182556,47.5608978,11.920083
149,23.8403549,19.6002579,37.04065704,36.5206451
150,60.001182556,11.4000711,60.001182556,60.001182556
151,60.001182556,60.001182556,8.4800043,10.2400446
152,60.001182556,60.001182556,25.8804016,23.04033661
153,4.7199965,6.8399944,60.001182556,60.001182556
154,15.9201746,60.001182556,13.1601114,12.7201014
155,60.001182556,9.8800364,60.001182556,21.4803009
156,24.08036041,60.001182556,19.6002579,60.001182556
157,60.001182556,60.001182556,60.001182556,60.001182556
158,5.5999956,6.9599943,7.7999935,7.5599937
159,60.001182556,60.001182556,23.2803421,60.001182556
160,60.001182556,15.5601664,13.04010868,36.600647
161,60.001182556,60.001182556,60.001182556,60.001182556
162,57.2411194,60.001182556,60.001182556,17.3202057
163,60.001182556,5.9199953,11.5200739,10.7200556
164,5.6799955,60.001182556,3.9599969,4.3999968
165,8.8400126,60.001182556,60.001182556,60.001182556
166,60.001182556,11.4400721,60.001182556,60.001182556
167,60.001182556,36.08063507,60.001182556,52.1210022
168,60.001182556,60.001182556,53.161026,60.001182556
169,60.001182556,60.001182556,60.001182556,60.001182556
170,35.8006287,60.001182556,6.9999943,5.4399958
171,60.001182556,60.001182556,60.001182556,60.001182556
172,60.001182556,60.001182556,60.001182556,60.001182556
173,49.2009354,60.001182556,4.5999966,20.1202698
174,5.3599958,60.001182556,5.3199959,5.159996
175,60.001182556,60.001182556,28.08045197,27.8004456
176,60.001182556,8.07999516,39.3607101,38.6406937
177,60.001182556,60.001182556,12.3600931,60.001182556
178,60.001182556,60.001182556,13.0801096,60.001182556
179,60.001182556,60.001182556,60.001182556,12.2000895
180,60.001182556,60.001182556,60.001182556,60.001182556
181,60.001182556,3.919997,60.001182556,60.001182556
182,60.001182556,60.001182556,60.001182556,4.159997
183,18.4002304,7.5999937,27.3604355,14.8401499
184,13.0001077652,12.8001032,40.4007339,20.2002716
185,60.001182556,60.001182556,60.001182556,60.001182556
186,4.0399971,4.8799963,3.7999971,3.7199972
187,7.1999941,60.001182556,60.001182556,60.001182556
188,6.5599947,15.72017,60.001182556,51.04097748
189,60.001182556,60.001182556,23.2003403,24.6003723
190,42.8407898,60.001182556,60.001182556,60.001182556
191,60.001182556,60.001182556,60.001182556,60.001182556
192,15.240159,5.6399956,12.04008579,11.3200693
193,60.001182556,60.001182556,60.001182556,60.001182556
194,60.001182556,60.001182556,14.4401407,60.001182556
195,60.001182556,60.001182556,32.5605545,60.001182556
196,23.7603531,60.001182556,60.001182556,15.8401728
197,60.001182556,60.001182556,4.5599966,5.159996
198,60.001182556,60.001182556,16.1201782,60.001182556
199,60.001182556,60.001182556,10.1600428,37.1606598
200,60.001182556,60.001182556,60.001182556,60.001182556
